Year,Revenue,Cost of Services,Gross Profit,Operating Expenses,Depreciation and Amortization,Operating Income,Interest Expense,Income Before Taxes,Income Tax Expense,Net Income,Growth Rate
2021,313167000,201383000,111784000,88650000,7774000,-7185000,5976000,-13161000,2938000,-10223000,0.08
2022,125077000,75292000,49785000,45402000,1313000,3070000,1135000,1935000,-169000,1766000,-0.60
2023,125077000,75292000,49785000,45402000,1313000,3070000,1135000,1935000,-169000,1766000,0.00
